Cluster_ID,Descripcion_Cluster,Num_Pozos,Desviacion_Promedio_General_Cluster,Mes_Pico_Desviacion,Valor_Pico_Desviacion_Mes
No Agrupados tSNE,Pozos Atípicos (tSNE),155,653.14,N/A,N/A
cube442_cluster0,Desviación Prom. Negativa,5,-257.30,2022-09,-3690.80
cube332_cluster0,Desviación Prom. Negativa,2,-10.42,2023-09,-500.00
cube360_cluster0,Desviación Prom. Negativa,1,-1.48,2023-10,-64.00
cube362_cluster0,Desviación Prom. Negativa,1,-1.08,2022-08,-52.00
cube195_cluster0,Desviación Prom. Neutra,6,-0.62,N/A,N/A
cube278_cluster0,Desviación Prom. Neutra,3,-0.59,N/A,N/A
cube431_cluster0,Desviación Prom. Neutra,2,-0.56,N/A,N/A
cube421_cluster0,Desviación Prom. Neutra,3,-0.40,N/A,N/A
cube369_cluster0,Desviación Prom. Neutra,1,-0.27,N/A,N/A
cube443_cluster0,Desviación Prom. Neutra,1,-0.21,N/A,N/A
cube196_cluster0,Desviación Prom. Neutra,2,-0.19,N/A,N/A
cube359_cluster0,Desviación Prom. Neutra,2,-0.18,N/A,N/A
cube397_cluster0,Desviación Prom. Neutra,3,-0.15,N/A,N/A
cube368_cluster0,Desviación Prom. Neutra,2,-0.12,N/A,N/A
cube183_cluster0,Desviación Prom. Neutra,2,-0.05,N/A,N/A
cube407_cluster0,Desviación Prom. Neutra,2,-0.05,N/A,N/A
cube399_cluster0,Desviación Prom. Neutra,1,-0.04,N/A,N/A
cube254_cluster0,Desviación Prom. Neutra,5,0.00,N/A,N/A
cube417_cluster0,Desviación Prom. Neutra,31,0.00,N/A,N/A
cube246_cluster0,Desviación Prom. Neutra,3,0.00,N/A,N/A
cube237_cluster0,Desviación Prom. Neutra,1,0.00,N/A,N/A
cube416_cluster0,Desviación Prom. Neutra,1,0.00,N/A,N/A
cube409_cluster0,Desviación Prom. Neutra,1,0.00,N/A,N/A
cube350_cluster0,Desviación Prom. Neutra,3,0.00,N/A,N/A
cube255_cluster0,Desviación Prom. Neutra,6,0.00,N/A,N/A
cube245_cluster0,Desviación Prom. Neutra,4,0.00,N/A,N/A
cube408_cluster0,Desviación Prom. Neutra,1,0.00,N/A,N/A
cube264_cluster0,Desviación Prom. Neutra,1,0.00,N/A,N/A
cube236_cluster0,Desviación Prom. Neutra,3,0.00,N/A,N/A
